조닝번호,MC명
0,바나나
3,오렌지
3-2,딸기
1-1,수박
2,토마토
2,토마토(가공)
3-1,키위
3-2,체리
3-2,아보카도
3-2,수입포도
3-2,수입기타
3-2,수입망고
3-2,자몽
3-2,레몬
3-3,수수료-청과
4,사과
4,배
4,포도
4,밤
4,계절과일(냉장)
1-2,참외
5-1,감(냉동)
5-1,냉동과일
5-2,계절과일
5-2,포장과일
5-2,간편과일
5-2,과실선물세트
6,샐러드류
6,엽채류기타(건조)
6,엽채류기타(냉장)
6,샐러드류(냉장)
6,근채류기타
6,수입채소
7-1,두부
7-1,두부(기타)
7-1,두부수수료
7-2,콩나물
7-2,숙주
7-2,콩나물수수료
7-2,숙주수수료
8,판란
8,캡슐란
9,채소-수수료
9,수수료 기타
9,친환경채소 수수료
9,채소-수수료(PD)
9,채소-수수료(실온)
9,옥수수
10-1,간편식
10-2,양곡류
10-2,잡곡류
10-2,가공기타
11-1,고추
11-1,오이
11-1,호박
11-1,과채기타
11-1,파프리카
11-1,단호박
11-1,건강/약용류
11-2,감자
11-2,무우
11-2,고구마
11-2,양파
11-2,마늘
11-2,마늘(냉장)
11-3,배추
11-3,파
11-3,시금치
11-3,엽채류기타
11-3,양채류
11-3,고추가루
12,표고버섯
12,버섯기타
12,새송이 버섯
12,표고버섯(건조)
12,버섯기타(건조)
13,일산 로컬 푸드-수수료
13,로컬-수수료(냉장)
13,일산로컬푸드_수수료(2D)
13,로컬-수수료
13,오아시스 식품
14-1,건과류
14-1,견과류
14-2,건멸치
14-2,건오징어
14-2,생김
14-2,황태류
14-2,멸치_수수료
15,진미채
15,진미채(냉장)
15,쥐포류
15,천연조미료
16,갈치(냉동)
16,노르웨이고등어(냉동)
16,연어(냉동)
16,국산고등어(냉동)
16,수입선어(냉동)
16,살류(냉동)
16,명태
16,새우
16,낙지
16,굴(냉동)
16,꽃게(냉동)
16,패류(냉장)
16,굴비
16,새우살
16,전복(냉동)
16,명태코다리
16,수산HMR(냉동)
17,꽃게
17,굴
17,패류
17,전복
18,살류
18,삼치
18,조기
18,연어
18,구색어
18,갈치
18,국산고등어
18,수입선어
18,자반고등어
18,오징어
19,전감류
19,젓갈류
19,수산HMR
19,젓갈류-수수료
19,회초밥-수수료
19,탕볶음-수수료
21,한우등심
21,한우채끝
21,한우안심
21,한우정육
21,한우갈비
21,한우부산물
21,한우양지
22,수입갈비
22,수입등심
22,수입부채살
22,수입가공
22,수입정육
22,수입양지
22,수입돈육
22,수입 와규
23,돈삼겹살
23,돈목심
23,돈갈비
23,돈앞다리
23,돼지기타
23,돈삼겹살(냉동)
23,돈목심(냉동)
24,계육가공
24,계육가공(실온)
24,생닭육
24,닭절단육
24,닭부분육
24,토종닭
24,생오리
24,오리가공
24,계육가공(냉동)
25,양념불고기
25,양념구이용
25,양념스테이크
25,양념육선물세트
25,델리간편조리(지정)
25,델리간편조리
25,델리갈비가공
26,웰빙돼지 뒷다리
26,웰빙돼지 삼겹
26,웰빙돼지 목심
26,웰빙돼지 앞다리
26,웰빙돼지 갈비
26,웰빙돼지 등심
26,웰빙돼지 안심
26,웰빙돼지 기타
27,양념델리 수수료
27,델리간편조리(실온)
27,제주관
27,제주관_수수료
27,제주관(냉동)
28,포기김치(면세)
28,맛김치(면세)
28,총각김치(면세)
28,열무김치(면세)
28,소포장김치(실온)
28,기타김치
28,소포장김치
29,떡갈비
29,동그랑땡
29,돈까스/생선까스
29,냉동스테이크
29,튀김류
29,냉동밥/죽
29,냉동떡/면
29,냉동피자
29,안주류
29,기타냉동식품
30,손만두
30,군만두
30,물만두
30,교자만두
30,딤섬&만두피
30,치킨너겟
30,치킨텐더
30,윙.봉
30,핫도그
30,냉동빵/케이크
30,디저트
30,컵아이스크림
30,막대아이스크림
30,콘아이스크림
30,샌드아이스크림
30,수입아이스크림
31,사각햄
31,프랑크햄
31,비엔나햄
31,김밥햄
31,슬라이스햄
31,베이컨
31,닭고기햄
31,기타소시지
31,기타소시지
31,기타소시지(실온)
31,사각어묵
31,국탕용어묵
31,핫바/고급어묵
31,맛살(일반)
31,맛살(프리미엄)
31,유부초밥재료
31,곤약
31,단무지
31,절임류
31,냉장국/탕/찌개
31,냉장분식
31,낫또
31,냉장드레싱
31,냉장반찬
31,냉장 양념/장
31,단무지(실온)
31,절임류(실온)
31,냉장분식(애슐리)
32,냉장반찬(실온)
32,냉장냉면류
32,냉장우동류
32,냉장스파게티류
32,냉장중화면류
32,냉장떡류
32,냉장면사리
32,냉장육수
32,냉장쌀국수
32,냉장쫄면
32,냉장메밀면
32,냉장떡류(실온)
32,냉장면사리(실온)
32,냉장육수(실온)
32,기타냉장면
33,일반생수
33,기능성첨가생수
33,성인두유
34,오렌지음료
34,포도음료
34,기타과즙음료(팩)
34,토마토음료
34,알로에음료
34,기타야채음료
34,과즙병세트음료
34,곡식음료
34,오렌지음료(실온)
34,포도음료(실온)
34,기타과즙음료(실온)
35,콜라
35,사이다
35,과즙탄산
35,탄산수
35,이온음료
35,숙취제거음료
35,건강세트음료
35,어린이음료
35,커피음료
35,혼합차음료
35,섬유음료
35,홍차음료
35,수입생수
36,액상발효유
36,액상농후발효유
36,호상농후발효유
36,액상발효유(실온)
36,액상농후발효유(실온)
36,호상농후발효유(실온)
37,멸균유
37,흰우유
37,저지방우유
37,강화우유
37,가공우유
38,냉장젤리류
38,냉장컵커피/음료
38,가공우유(실온)
38,기타유제품류
39,기타치즈(실온)
39,기타유제품류(실온)
39,냉장커피(실온)
39,연성치즈
39,경성치즈
39,가공치즈
39,기타치즈
39,버터
39,마아가린
39,가공치즈(실온)
39,버터(실온)
40,스위티 와인
40,드라이 와인
40,직수입와인
40,수입위스키
40,리큐르
40,럼/진
40,와인세트
40,민속주
40,보드카
